Word,Word2
€,euros
união europeia,ue
acção social,ação social
através do,através de
aumento da, aumento de
aumento das, aumento de
aumento do, aumento de
aumento dos, aumento de
autoridade da, autoridade de
autoridade das, autoridade de
autoridade do, autoridade de
autoridade dos, autoridade de
ies,ensino superior
sector público,setor público
devem ser,deve ser
económica social,economico social
acção social,ação social
p r r, PRR
plano recuperação resiliência, PRR
Recuperação e Resiliência, PRR
