Word,Word2
direita  direita,direita
familiares,família
familiar,família
devem  ser,deve  ser
últimos,último
soluções,solução
seguintes,seguinte
problemas,problema
organizações,organização
oportunidades,oportunidade
níveis,nível
mecanismos,mecanismo
melhores,melhor
culturais,cultural
utilização,utilizar
territorial,territorio
revendo,rever
reforçando,reforçar
redes,rede
promovendo,promover
promoção,promover
produtos,produto
locais,local
incentivos,incentivo
legislação,leis
implementando,implementação
europeu,europa
climáticas,clima
climática,clima
científica,científico
tradições,tradição
socialistas,socialismo
soberana,soberania
rurais,rural
renovação,renovar
renovado,renovar
relações,relação
regulamentação,regulação
projetos,projecto
políticos,política
político,política
partidos,partido
morais,moral
histórica,histórico
fundamentais,fundamental
forças,força
familiares,familiar
estrangeiros,estrangeiro
escolares,escolar
determinadas,determinado
determinada,determinado
despesas,despesa
cívica,cívico
comuns,comum
combatentes,combatente
compromissos,compromisso
certas,certa
bens,bem
benefícios,benefício
alternativas,alternativa
antigos,antigo
áreas,área
respostas,resposta
salários,salário
programas,programa
necessidades,necessidade
novas,novo
novos,novo
outras,outro
aumentar,aumento
apoios,apoio
euro,euros
m€,euros
€,euros
fiscais,fiscal
foram,foi
garantindo,garantia
garantir,garantia
grande,grandes
através  do,através  de
aumento  da, aumento  de
aumento  das, aumento  de
aumento  dos, aumento  de
aumento  do, aumento  de
autoridade  dos, autoridade  de
autoridade  do, autoridade   de
autoridade  das, autoridade  de
autoridade  da, autoridade  de
princípios,princípio
professores,professor
promoverá,promover
propõe,proposta
propostas,proposta
reformas,reforma
rendimentos,rendimento
socialismos,socialismo
trabalhadores,trabalhador
institucional,instituição
instituições,instituição
jovens,jovem
juventude,jovem
leis,lei
modelos,modelo
dever,deve
defende,defesa
cuidados,cuidado
crimes,crime
combate,combater
recursos,recurso
aforradores,aforrador
setores,setor
agentes,agente
agentes,agente
«os,os
ambiental,ambiente
animais,animal
casos,caso
cidadãos,cidadão
criação,criar
cultural,cultura
custos,custo
democrática,democracia
devem,deve
direitos,direito
direitos,direito
económica,economia
económica,economia
económico,economia
económico,economia
empresas,empresa
entidades,entidade
escolas,escola
ies,ensino  superior
impostos,imposto
maior,mais
nacionais,nacional
objectivos,objetivo
objetivos,objetivo
outros,outro
países,país
podem,pode
políticas,política
político,política
portuguesa,português
portugueses,português
povos,povo
processos,processo
pública,público
públicas,público
públicos,público
queremos,quer
redução,reduzir
são,ser
seja,ser
sendo,ser
serviços,serviço
sociais,social
têm,tem
todas,todo
todos,todo
trabalho,trabalhar
verdes»,verdes
